# This file is generated on 06-Dec-2021 at 11:56:23 and contains for each site, each satellite, frequency:
# att_comb_cdf_val = cdf value of total attenuation (dB); att_comb_cdf_prob = cdf probability of total attenuation(%).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_comb_cdf_val (dB), att_comb_cdf_prob ()
1, 1, 7.5000e+01, 3.1313e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.8381e+02, 1.6000e-02
1, 1, 7.5000e+01, 2.5210e+02, 2.7000e-02
1, 1, 7.5000e+01, 2.2292e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.9483e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.6837e+02, 1.3000e-01
1, 1, 7.5000e+01, 1.4511e+02, 2.1000e-01
1, 1, 7.5000e+01, 1.2396e+02, 3.5000e-01
1, 1, 7.5000e+01, 1.0414e+02, 6.0000e-01
1, 1, 7.5000e+01, 8.8963e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2191e+01, 1.7000e+00
1, 1, 7.5000e+01, 5.8172e+01, 3.0000e+00
1, 1, 7.5000e+01, 4.6481e+01, 5.1000e+00
1, 1, 7.5000e+01, 3.6788e+01, 8.3000e+00
1, 1, 7.5000e+01, 3.0026e+01, 1.2000e+01
1, 1, 7.5000e+01, 2.2127e+01, 1.9000e+01
1, 1, 7.5000e+01, 1.5768e+01, 3.0000e+01
1, 1, 7.5000e+01, 1.2594e+01, 4.5000e+01
1, 1, 7.5000e+01, 1.1387e+01, 6.0000e+01
1, 1, 7.5000e+01, 1.1047e+01, 8.0000e+01
1, 1, 7.5000e+01, 1.0969e+01, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
1, 2, 7.5000e+01, 5.0610e+01, 9.5000e-01
1, 2, 7.5000e+01, 4.0374e+01, 1.7000e+00
1, 2, 7.5000e+01, 3.2052e+01, 3.0000e+00
1, 2, 7.5000e+01, 2.5324e+01, 5.1000e+00
1, 2, 7.5000e+01, 1.9892e+01, 8.3000e+00
1, 2, 7.5000e+01, 1.6179e+01, 1.2000e+01
1, 2, 7.5000e+01, 1.1919e+01, 1.9000e+01
1, 2, 7.5000e+01, 8.5216e+00, 3.0000e+01
1, 2, 7.5000e+01, 6.8016e+00, 4.5000e+01
1, 2, 7.5000e+01, 6.1222e+00, 6.0000e+01
1, 2, 7.5000e+01, 5.8727e+00, 8.0000e+01
1, 2, 7.5000e+01, 5.7698e+00, 9.8000e+01
1, 2, 7.5000e+01, 2.0622e+02, 1.0000e-02
1, 2, 7.5000e+01, 1.8453e+02, 1.6000e-02
1, 2, 7.5000e+01, 1.6139e+02, 2.7000e-02
1, 2, 7.5000e+01, 1.4037e+02, 4.5000e-02
1, 2, 7.5000e+01, 1.2039e+02, 7.7000e-02
1, 2, 7.5000e+01, 1.0222e+02, 1.3000e-01
1, 2, 7.5000e+01, 8.6773e+01, 2.1000e-01
1, 2, 7.5000e+01, 7.2844e+01, 3.5000e-01
1, 2, 7.5000e+01, 6.0102e+01, 6.0000e-01
