# This file is generated on 06-Dec-2021 at 12:13:10 and contains for each site, each satellite, frequency:
# att_cld_cdf_val = cdf value of attenuation due to clouds (dB); att_cld_cdf_prob = cdf probability of attenuation due to clouds (%).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_cld_cdf_val (dB), att_cld_cdf_prob (%)
1, 3, 3.7500e+01, 9.6152e-01, 9.5000e-01
1, 3, 3.7500e+01, 7.7819e-01, 1.7000e+00
1, 3, 3.7500e+01, 5.8155e-01, 3.0000e+00
1, 3, 3.7500e+01, 3.8976e-01, 5.1000e+00
1, 3, 3.7500e+01, 2.3217e-01, 8.3000e+00
1, 3, 3.7500e+01, 1.3589e-01, 1.2000e+01
1, 3, 3.7500e+01, 4.5206e-02, 1.9000e+01
1, 3, 3.7500e+01, 4.3936e-03, 3.0000e+01
1, 3, 3.7500e+01, 9.0620e-04, 4.5000e+01
1, 3, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 3, 3.7500e+01, 1.5740e+00, 1.0000e-02
1, 3, 3.7500e+01, 1.5740e+00, 1.6000e-02
1, 3, 3.7500e+01, 1.5740e+00, 2.7000e-02
1, 3, 3.7500e+01, 1.5740e+00, 4.5000e-02
1, 3, 3.7500e+01, 1.5740e+00, 7.7000e-02
1, 3, 3.7500e+01, 1.5133e+00, 1.3000e-01
1, 3, 3.7500e+01, 1.3991e+00, 2.1000e-01
1, 3, 3.7500e+01, 1.2527e+00, 3.5000e-01
1, 3, 3.7500e+01, 1.1015e+00, 6.0000e-01
1, 3, 3.7500e+01, 9.6152e-01, 9.5000e-01
1, 3, 3.7500e+01, 7.7819e-01, 1.7000e+00
1, 3, 3.7500e+01, 5.8155e-01, 3.0000e+00
1, 3, 3.7500e+01, 3.8976e-01, 5.1000e+00
1, 3, 3.7500e+01, 2.3217e-01, 8.3000e+00
1, 3, 3.7500e+01, 1.3589e-01, 1.2000e+01
1, 3, 3.7500e+01, 4.5206e-02, 1.9000e+01
1, 3, 3.7500e+01, 4.3936e-03, 3.0000e+01
1, 3, 3.7500e+01, 9.0620e-04, 4.5000e+01
1, 3, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 3, 3.7500e+01, 1.5740e+00, 1.0000e-02
1, 3, 3.7500e+01, 1.5740e+00, 1.6000e-02
1, 3, 3.7500e+01, 1.5740e+00, 2.7000e-02
1, 3, 3.7500e+01, 1.5740e+00, 4.5000e-02
1, 3, 3.7500e+01, 1.5740e+00, 7.7000e-02
1, 3, 3.7500e+01, 1.5133e+00, 1.3000e-01
1, 3, 3.7500e+01, 1.3991e+00, 2.1000e-01
1, 3, 3.7500e+01, 1.2527e+00, 3.5000e-01
1, 3, 3.7500e+01, 1.1015e+00, 6.0000e-01
1, 3, 3.7500e+01, 9.6152e-01, 9.5000e-01
1, 3, 3.7500e+01, 7.7819e-01, 1.7000e+00
1, 3, 3.7500e+01, 5.8155e-01, 3.0000e+00
1, 3, 3.7500e+01, 3.8976e-01, 5.1000e+00
1, 3, 3.7500e+01, 2.3217e-01, 8.3000e+00
1, 3, 3.7500e+01, 1.3589e-01, 1.2000e+01
1, 3, 3.7500e+01, 4.5206e-02, 1.9000e+01
1, 3, 3.7500e+01, 4.3936e-03, 3.0000e+01
1, 3, 3.7500e+01, 9.0620e-04, 4.5000e+01
1, 3, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 3, 3.7500e+01, 1.5740e+00, 1.0000e-02
1, 3, 3.7500e+01, 1.5740e+00, 1.6000e-02
1, 3, 3.7500e+01, 1.5740e+00, 2.7000e-02
1, 3, 3.7500e+01, 1.5740e+00, 4.5000e-02
1, 3, 3.7500e+01, 1.5740e+00, 7.7000e-02
1, 3, 3.7500e+01, 1.5133e+00, 1.3000e-01
1, 3, 3.7500e+01, 1.3991e+00, 2.1000e-01
1, 3, 3.7500e+01, 1.2527e+00, 3.5000e-01
1, 3, 3.7500e+01, 1.1015e+00, 6.0000e-01
1, 3, 3.7500e+01, 9.6152e-01, 9.5000e-01
1, 3, 3.7500e+01, 7.7819e-01, 1.7000e+00
1, 3, 3.7500e+01, 5.8155e-01, 3.0000e+00
1, 3, 3.7500e+01, 3.8976e-01, 5.1000e+00
1, 3, 3.7500e+01, 2.3217e-01, 8.3000e+00
1, 3, 3.7500e+01, 1.3589e-01, 1.2000e+01
1, 3, 3.7500e+01, 4.5206e-02, 1.9000e+01
1, 3, 3.7500e+01, 4.3936e-03, 3.0000e+01
1, 3, 3.7500e+01, 9.0620e-04, 4.5000e+01
1, 3, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 3, 3.7500e+01, 1.5740e+00, 1.0000e-02
1, 3, 3.7500e+01, 1.5740e+00, 1.6000e-02
1, 3, 3.7500e+01, 1.5740e+00, 2.7000e-02
1, 3, 3.7500e+01, 1.5740e+00, 4.5000e-02
1, 3, 3.7500e+01, 1.5740e+00, 7.7000e-02
1, 3, 3.7500e+01, 1.5133e+00, 1.3000e-01
1, 3, 3.7500e+01, 1.3991e+00, 2.1000e-01
1, 3, 3.7500e+01, 1.2527e+00, 3.5000e-01
1, 3, 3.7500e+01, 1.1015e+00, 6.0000e-01
1, 3, 3.7500e+01, 9.6152e-01, 9.5000e-01
1, 3, 3.7500e+01, 7.7819e-01, 1.7000e+00
1, 3, 3.7500e+01, 5.8155e-01, 3.0000e+00
1, 3, 3.7500e+01, 3.8976e-01, 5.1000e+00
1, 3, 3.7500e+01, 2.3217e-01, 8.3000e+00
1, 3, 3.7500e+01, 1.3589e-01, 1.2000e+01
1, 3, 3.7500e+01, 4.5206e-02, 1.9000e+01
1, 3, 3.7500e+01, 4.3936e-03, 3.0000e+01
1, 3, 3.7500e+01, 9.0620e-04, 4.5000e+01
1, 3, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 3, 3.7500e+01, 1.5740e+00, 1.0000e-02
1, 3, 3.7500e+01, 1.5740e+00, 1.6000e-02
1, 3, 3.7500e+01, 1.5740e+00, 2.7000e-02
1, 3, 3.7500e+01, 1.5740e+00, 4.5000e-02
1, 3, 3.7500e+01, 1.5740e+00, 7.7000e-02
1, 3, 3.7500e+01, 1.5133e+00, 1.3000e-01
1, 3, 3.7500e+01, 1.3991e+00, 2.1000e-01
1, 3, 3.7500e+01, 1.2527e+00, 3.5000e-01
1, 3, 3.7500e+01, 1.1015e+00, 6.0000e-01
1, 3, 3.7500e+01, 9.6152e-01, 9.5000e-01
1, 3, 3.7500e+01, 7.7819e-01, 1.7000e+00
1, 3, 3.7500e+01, 5.8155e-01, 3.0000e+00
1, 3, 3.7500e+01, 3.8976e-01, 5.1000e+00
1, 3, 3.7500e+01, 2.3217e-01, 8.3000e+00
1, 3, 3.7500e+01, 1.3589e-01, 1.2000e+01
1, 3, 3.7500e+01, 4.5206e-02, 1.9000e+01
1, 3, 3.7500e+01, 4.3936e-03, 3.0000e+01
1, 3, 3.7500e+01, 9.0620e-04, 4.5000e+01
1, 3, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 3, 3.7500e+01, 1.5740e+00, 1.0000e-02
1, 3, 3.7500e+01, 1.5740e+00, 1.6000e-02
1, 3, 3.7500e+01, 1.5740e+00, 2.7000e-02
1, 3, 3.7500e+01, 1.5740e+00, 4.5000e-02
1, 3, 3.7500e+01, 1.5740e+00, 7.7000e-02
1, 3, 3.7500e+01, 1.5133e+00, 1.3000e-01
1, 3, 3.7500e+01, 1.3991e+00, 2.1000e-01
1, 3, 3.7500e+01, 1.2527e+00, 3.5000e-01
1, 3, 3.7500e+01, 1.1015e+00, 6.0000e-01
1, 3, 3.7500e+01, 9.6152e-01, 9.5000e-01
1, 3, 3.7500e+01, 7.7819e-01, 1.7000e+00
1, 3, 3.7500e+01, 5.8155e-01, 3.0000e+00
1, 3, 3.7500e+01, 3.8976e-01, 5.1000e+00
1, 3, 3.7500e+01, 2.3217e-01, 8.3000e+00
1, 3, 3.7500e+01, 1.3589e-01, 1.2000e+01
1, 3, 3.7500e+01, 4.5206e-02, 1.9000e+01
1, 3, 3.7500e+01, 4.3936e-03, 3.0000e+01
1, 3, 3.7500e+01, 9.0620e-04, 4.5000e+01
1, 3, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 3, 3.7500e+01, 1.5740e+00, 1.0000e-02
1, 3, 3.7500e+01, 1.5740e+00, 1.6000e-02
1, 3, 3.7500e+01, 1.5740e+00, 2.7000e-02
1, 3, 3.7500e+01, 1.5740e+00, 4.5000e-02
1, 3, 3.7500e+01, 1.5740e+00, 7.7000e-02
1, 3, 3.7500e+01, 1.5133e+00, 1.3000e-01
1, 3, 3.7500e+01, 1.3991e+00, 2.1000e-01
1, 3, 3.7500e+01, 1.2527e+00, 3.5000e-01
1, 3, 3.7500e+01, 1.1015e+00, 6.0000e-01
1, 3, 3.7500e+01, 9.6152e-01, 9.5000e-01
1, 3, 3.7500e+01, 7.7819e-01, 1.7000e+00
1, 3, 3.7500e+01, 5.8155e-01, 3.0000e+00
1, 3, 3.7500e+01, 3.8976e-01, 5.1000e+00
1, 3, 3.7500e+01, 2.3217e-01, 8.3000e+00
1, 3, 3.7500e+01, 1.3589e-01, 1.2000e+01
1, 3, 3.7500e+01, 4.5206e-02, 1.9000e+01
1, 3, 3.7500e+01, 4.3936e-03, 3.0000e+01
1, 3, 3.7500e+01, 9.0620e-04, 4.5000e+01
1, 3, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 3, 3.7500e+01, 1.5740e+00, 1.0000e-02
1, 3, 3.7500e+01, 1.5740e+00, 1.6000e-02
1, 3, 3.7500e+01, 1.5740e+00, 2.7000e-02
1, 3, 3.7500e+01, 1.5740e+00, 4.5000e-02
1, 3, 3.7500e+01, 1.5740e+00, 7.7000e-02
1, 3, 3.7500e+01, 1.5133e+00, 1.3000e-01
1, 3, 3.7500e+01, 1.3991e+00, 2.1000e-01
1, 3, 3.7500e+01, 1.2527e+00, 3.5000e-01
1, 3, 3.7500e+01, 1.1015e+00, 6.0000e-01
1, 3, 3.7500e+01, 9.6152e-01, 9.5000e-01
1, 3, 3.7500e+01, 7.7819e-01, 1.7000e+00
1, 3, 3.7500e+01, 5.8155e-01, 3.0000e+00
1, 3, 3.7500e+01, 3.8976e-01, 5.1000e+00
1, 3, 3.7500e+01, 2.3217e-01, 8.3000e+00
1, 3, 3.7500e+01, 1.3589e-01, 1.2000e+01
1, 3, 3.7500e+01, 4.5206e-02, 1.9000e+01
1, 3, 3.7500e+01, 4.3936e-03, 3.0000e+01
1, 3, 3.7500e+01, 9.0620e-04, 4.5000e+01
1, 3, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 3, 3.7500e+01, 1.5740e+00, 1.0000e-02
1, 3, 3.7500e+01, 1.5740e+00, 1.6000e-02
1, 3, 3.7500e+01, 1.5740e+00, 2.7000e-02
1, 3, 3.7500e+01, 1.5740e+00, 4.5000e-02
1, 3, 3.7500e+01, 1.5740e+00, 7.7000e-02
1, 3, 3.7500e+01, 1.5133e+00, 1.3000e-01
1, 3, 3.7500e+01, 1.3991e+00, 2.1000e-01
1, 3, 3.7500e+01, 1.2527e+00, 3.5000e-01
1, 3, 3.7500e+01, 1.1015e+00, 6.0000e-01
1, 3, 3.7500e+01, 9.6152e-01, 9.5000e-01
1, 3, 3.7500e+01, 7.7819e-01, 1.7000e+00
1, 3, 3.7500e+01, 5.8155e-01, 3.0000e+00
1, 3, 3.7500e+01, 3.8976e-01, 5.1000e+00
1, 3, 3.7500e+01, 2.3217e-01, 8.3000e+00
1, 3, 3.7500e+01, 1.3589e-01, 1.2000e+01
1, 3, 3.7500e+01, 4.5206e-02, 1.9000e+01
1, 3, 3.7500e+01, 4.3936e-03, 3.0000e+01
1, 3, 3.7500e+01, 9.0620e-04, 4.5000e+01
1, 3, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 3, 3.7500e+01, 1.5740e+00, 1.0000e-02
1, 3, 3.7500e+01, 1.5740e+00, 1.6000e-02
1, 3, 3.7500e+01, 1.5740e+00, 2.7000e-02
1, 3, 3.7500e+01, 1.5740e+00, 4.5000e-02
1, 3, 3.7500e+01, 1.5740e+00, 7.7000e-02
1, 3, 3.7500e+01, 1.5133e+00, 1.3000e-01
1, 3, 3.7500e+01, 1.3991e+00, 2.1000e-01
1, 3, 3.7500e+01, 1.2527e+00, 3.5000e-01
1, 3, 3.7500e+01, 1.1015e+00, 6.0000e-01
1, 3, 3.7500e+01, 9.6152e-01, 9.5000e-01
1, 3, 3.7500e+01, 7.7819e-01, 1.7000e+00
1, 3, 3.7500e+01, 5.8155e-01, 3.0000e+00
1, 3, 3.7500e+01, 3.8976e-01, 5.1000e+00
1, 3, 3.7500e+01, 2.3217e-01, 8.3000e+00
1, 3, 3.7500e+01, 1.3589e-01, 1.2000e+01
1, 3, 3.7500e+01, 4.5206e-02, 1.9000e+01
1, 3, 3.7500e+01, 4.3936e-03, 3.0000e+01
1, 3, 3.7500e+01, 9.0620e-04, 4.5000e+01
1, 3, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 3, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 4, 3.7500e+01, 1.5181e+00, 1.0000e-02
1, 4, 3.7500e+01, 1.5181e+00, 1.6000e-02
1, 4, 3.7500e+01, 1.5181e+00, 2.7000e-02
1, 4, 3.7500e+01, 1.5181e+00, 4.5000e-02
1, 4, 3.7500e+01, 1.5181e+00, 7.7000e-02
1, 4, 3.7500e+01, 1.4595e+00, 1.3000e-01
1, 4, 3.7500e+01, 1.3494e+00, 2.1000e-01
1, 4, 3.7500e+01, 1.2082e+00, 3.5000e-01
1, 4, 3.7500e+01, 1.0624e+00, 6.0000e-01
1, 4, 3.7500e+01, 9.2736e-01, 9.5000e-01
1, 4, 3.7500e+01, 7.5054e-01, 1.7000e+00
1, 4, 3.7500e+01, 5.6089e-01, 3.0000e+00
1, 4, 3.7500e+01, 3.7591e-01, 5.1000e+00
1, 4, 3.7500e+01, 2.2392e-01, 8.3000e+00
1, 4, 3.7500e+01, 1.3107e-01, 1.2000e+01
1, 4, 3.7500e+01, 4.3600e-02, 1.9000e+01
1, 4, 3.7500e+01, 4.2375e-03, 3.0000e+01
1, 4, 3.7500e+01, 8.7400e-04, 4.5000e+01
1, 4, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 4, 3.7500e+01, 1.5181e+00, 1.0000e-02
1, 4, 3.7500e+01, 1.5181e+00, 1.6000e-02
1, 4, 3.7500e+01, 1.5181e+00, 2.7000e-02
1, 4, 3.7500e+01, 1.5181e+00, 4.5000e-02
1, 4, 3.7500e+01, 1.5181e+00, 7.7000e-02
1, 4, 3.7500e+01, 1.4595e+00, 1.3000e-01
1, 4, 3.7500e+01, 1.3494e+00, 2.1000e-01
1, 4, 3.7500e+01, 1.2082e+00, 3.5000e-01
1, 4, 3.7500e+01, 1.0624e+00, 6.0000e-01
1, 4, 3.7500e+01, 9.2736e-01, 9.5000e-01
1, 4, 3.7500e+01, 7.5054e-01, 1.7000e+00
1, 4, 3.7500e+01, 5.6089e-01, 3.0000e+00
1, 4, 3.7500e+01, 3.7591e-01, 5.1000e+00
1, 4, 3.7500e+01, 2.2392e-01, 8.3000e+00
1, 4, 3.7500e+01, 1.3107e-01, 1.2000e+01
1, 4, 3.7500e+01, 4.3600e-02, 1.9000e+01
1, 4, 3.7500e+01, 4.2375e-03, 3.0000e+01
1, 4, 3.7500e+01, 8.7400e-04, 4.5000e+01
1, 4, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 4, 3.7500e+01, 1.5181e+00, 1.0000e-02
1, 4, 3.7500e+01, 1.5181e+00, 1.6000e-02
1, 4, 3.7500e+01, 1.5181e+00, 2.7000e-02
1, 4, 3.7500e+01, 1.5181e+00, 4.5000e-02
1, 4, 3.7500e+01, 1.5181e+00, 7.7000e-02
1, 4, 3.7500e+01, 1.4595e+00, 1.3000e-01
1, 4, 3.7500e+01, 1.3494e+00, 2.1000e-01
1, 4, 3.7500e+01, 1.2082e+00, 3.5000e-01
1, 4, 3.7500e+01, 1.0624e+00, 6.0000e-01
1, 4, 3.7500e+01, 9.2736e-01, 9.5000e-01
1, 4, 3.7500e+01, 7.5054e-01, 1.7000e+00
1, 4, 3.7500e+01, 5.6089e-01, 3.0000e+00
1, 4, 3.7500e+01, 3.7591e-01, 5.1000e+00
1, 4, 3.7500e+01, 2.2392e-01, 8.3000e+00
1, 4, 3.7500e+01, 1.3107e-01, 1.2000e+01
1, 4, 3.7500e+01, 4.3600e-02, 1.9000e+01
1, 4, 3.7500e+01, 4.2375e-03, 3.0000e+01
1, 4, 3.7500e+01, 8.7400e-04, 4.5000e+01
1, 4, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 4, 3.7500e+01, 1.5181e+00, 1.0000e-02
1, 4, 3.7500e+01, 1.5181e+00, 1.6000e-02
1, 4, 3.7500e+01, 1.5181e+00, 2.7000e-02
1, 4, 3.7500e+01, 1.5181e+00, 4.5000e-02
1, 4, 3.7500e+01, 1.5181e+00, 7.7000e-02
1, 4, 3.7500e+01, 1.4595e+00, 1.3000e-01
1, 4, 3.7500e+01, 1.3494e+00, 2.1000e-01
1, 4, 3.7500e+01, 1.2082e+00, 3.5000e-01
1, 4, 3.7500e+01, 1.0624e+00, 6.0000e-01
1, 4, 3.7500e+01, 9.2736e-01, 9.5000e-01
1, 4, 3.7500e+01, 7.5054e-01, 1.7000e+00
1, 4, 3.7500e+01, 5.6089e-01, 3.0000e+00
1, 4, 3.7500e+01, 3.7591e-01, 5.1000e+00
1, 4, 3.7500e+01, 2.2392e-01, 8.3000e+00
1, 4, 3.7500e+01, 1.3107e-01, 1.2000e+01
1, 4, 3.7500e+01, 4.3600e-02, 1.9000e+01
1, 4, 3.7500e+01, 4.2375e-03, 3.0000e+01
1, 4, 3.7500e+01, 8.7400e-04, 4.5000e+01
1, 4, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 4, 3.7500e+01, 1.5181e+00, 1.0000e-02
1, 4, 3.7500e+01, 1.5181e+00, 1.6000e-02
1, 4, 3.7500e+01, 1.5181e+00, 2.7000e-02
1, 4, 3.7500e+01, 1.5181e+00, 4.5000e-02
1, 4, 3.7500e+01, 1.5181e+00, 7.7000e-02
1, 4, 3.7500e+01, 1.4595e+00, 1.3000e-01
1, 4, 3.7500e+01, 1.3494e+00, 2.1000e-01
1, 4, 3.7500e+01, 1.2082e+00, 3.5000e-01
1, 4, 3.7500e+01, 1.0624e+00, 6.0000e-01
1, 4, 3.7500e+01, 9.2736e-01, 9.5000e-01
1, 4, 3.7500e+01, 7.5054e-01, 1.7000e+00
1, 4, 3.7500e+01, 5.6089e-01, 3.0000e+00
1, 4, 3.7500e+01, 3.7591e-01, 5.1000e+00
1, 4, 3.7500e+01, 2.2392e-01, 8.3000e+00
1, 4, 3.7500e+01, 1.3107e-01, 1.2000e+01
1, 4, 3.7500e+01, 4.3600e-02, 1.9000e+01
1, 4, 3.7500e+01, 4.2375e-03, 3.0000e+01
1, 4, 3.7500e+01, 8.7400e-04, 4.5000e+01
1, 4, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 4, 3.7500e+01, 1.5181e+00, 1.0000e-02
1, 4, 3.7500e+01, 1.5181e+00, 1.6000e-02
1, 4, 3.7500e+01, 1.5181e+00, 2.7000e-02
1, 4, 3.7500e+01, 1.5181e+00, 4.5000e-02
1, 4, 3.7500e+01, 1.5181e+00, 7.7000e-02
1, 4, 3.7500e+01, 1.4595e+00, 1.3000e-01
1, 4, 3.7500e+01, 1.3494e+00, 2.1000e-01
1, 4, 3.7500e+01, 1.2082e+00, 3.5000e-01
1, 4, 3.7500e+01, 1.0624e+00, 6.0000e-01
1, 4, 3.7500e+01, 9.2736e-01, 9.5000e-01
1, 4, 3.7500e+01, 7.5054e-01, 1.7000e+00
1, 4, 3.7500e+01, 5.6089e-01, 3.0000e+00
1, 4, 3.7500e+01, 3.7591e-01, 5.1000e+00
1, 4, 3.7500e+01, 2.2392e-01, 8.3000e+00
1, 4, 3.7500e+01, 1.3107e-01, 1.2000e+01
1, 4, 3.7500e+01, 4.3600e-02, 1.9000e+01
1, 4, 3.7500e+01, 4.2375e-03, 3.0000e+01
1, 4, 3.7500e+01, 8.7400e-04, 4.5000e+01
1, 4, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 4, 3.7500e+01, 1.5181e+00, 1.0000e-02
1, 4, 3.7500e+01, 1.5181e+00, 1.6000e-02
1, 4, 3.7500e+01, 1.5181e+00, 2.7000e-02
1, 4, 3.7500e+01, 1.5181e+00, 4.5000e-02
1, 4, 3.7500e+01, 1.5181e+00, 7.7000e-02
1, 4, 3.7500e+01, 1.4595e+00, 1.3000e-01
1, 4, 3.7500e+01, 1.3494e+00, 2.1000e-01
1, 4, 3.7500e+01, 1.2082e+00, 3.5000e-01
1, 4, 3.7500e+01, 1.0624e+00, 6.0000e-01
1, 4, 3.7500e+01, 9.2736e-01, 9.5000e-01
1, 4, 3.7500e+01, 7.5054e-01, 1.7000e+00
1, 4, 3.7500e+01, 5.6089e-01, 3.0000e+00
1, 4, 3.7500e+01, 3.7591e-01, 5.1000e+00
1, 4, 3.7500e+01, 2.2392e-01, 8.3000e+00
1, 4, 3.7500e+01, 1.3107e-01, 1.2000e+01
1, 4, 3.7500e+01, 4.3600e-02, 1.9000e+01
1, 4, 3.7500e+01, 4.2375e-03, 3.0000e+01
1, 4, 3.7500e+01, 8.7400e-04, 4.5000e+01
1, 4, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 4, 3.7500e+01, 1.5181e+00, 1.0000e-02
1, 4, 3.7500e+01, 1.5181e+00, 1.6000e-02
1, 4, 3.7500e+01, 1.5181e+00, 2.7000e-02
1, 4, 3.7500e+01, 1.5181e+00, 4.5000e-02
1, 4, 3.7500e+01, 1.5181e+00, 7.7000e-02
1, 4, 3.7500e+01, 1.4595e+00, 1.3000e-01
1, 4, 3.7500e+01, 1.3494e+00, 2.1000e-01
1, 4, 3.7500e+01, 1.2082e+00, 3.5000e-01
1, 4, 3.7500e+01, 1.0624e+00, 6.0000e-01
1, 4, 3.7500e+01, 9.2736e-01, 9.5000e-01
1, 4, 3.7500e+01, 7.5054e-01, 1.7000e+00
1, 4, 3.7500e+01, 5.6089e-01, 3.0000e+00
1, 4, 3.7500e+01, 3.7591e-01, 5.1000e+00
1, 4, 3.7500e+01, 2.2392e-01, 8.3000e+00
1, 4, 3.7500e+01, 1.3107e-01, 1.2000e+01
1, 4, 3.7500e+01, 4.3600e-02, 1.9000e+01
1, 4, 3.7500e+01, 4.2375e-03, 3.0000e+01
1, 4, 3.7500e+01, 8.7400e-04, 4.5000e+01
1, 4, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 4, 3.7500e+01, 1.5181e+00, 1.0000e-02
1, 4, 3.7500e+01, 1.5181e+00, 1.6000e-02
1, 4, 3.7500e+01, 1.5181e+00, 2.7000e-02
1, 4, 3.7500e+01, 1.5181e+00, 4.5000e-02
1, 4, 3.7500e+01, 1.5181e+00, 7.7000e-02
1, 4, 3.7500e+01, 1.4595e+00, 1.3000e-01
1, 4, 3.7500e+01, 1.3494e+00, 2.1000e-01
1, 4, 3.7500e+01, 1.2082e+00, 3.5000e-01
1, 4, 3.7500e+01, 1.0624e+00, 6.0000e-01
1, 4, 3.7500e+01, 9.2736e-01, 9.5000e-01
1, 4, 3.7500e+01, 7.5054e-01, 1.7000e+00
1, 4, 3.7500e+01, 5.6089e-01, 3.0000e+00
1, 4, 3.7500e+01, 3.7591e-01, 5.1000e+00
1, 4, 3.7500e+01, 2.2392e-01, 8.3000e+00
1, 4, 3.7500e+01, 1.3107e-01, 1.2000e+01
1, 4, 3.7500e+01, 4.3600e-02, 1.9000e+01
1, 4, 3.7500e+01, 4.2375e-03, 3.0000e+01
1, 4, 3.7500e+01, 8.7400e-04, 4.5000e+01
1, 4, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 4, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 4, 3.7500e+01, 1.5181e+00, 1.0000e-02
1, 4, 3.7500e+01, 1.5181e+00, 1.6000e-02
1, 4, 3.7500e+01, 1.5181e+00, 2.7000e-02
1, 4, 3.7500e+01, 1.5181e+00, 4.5000e-02
1, 4, 3.7500e+01, 1.5181e+00, 7.7000e-02
1, 4, 3.7500e+01, 1.4595e+00, 1.3000e-01
1, 4, 3.7500e+01, 1.3494e+00, 2.1000e-01
1, 4, 3.7500e+01, 1.2082e+00, 3.5000e-01
1, 4, 3.7500e+01, 1.0624e+00, 6.0000e-01
1, 4, 3.7500e+01, 9.2736e-01, 9.5000e-01
1, 4, 3.7500e+01, 7.5054e-01, 1.7000e+00
1, 4, 3.7500e+01, 5.6089e-01, 3.0000e+00
1, 4, 3.7500e+01, 3.7591e-01, 5.1000e+00
1, 4, 3.7500e+01, 2.2392e-01, 8.3000e+00
1, 4, 3.7500e+01, 1.3107e-01, 1.2000e+01
1, 4, 3.7500e+01, 4.3600e-02, 1.9000e+01
1, 4, 3.7500e+01, 4.2375e-03, 3.0000e+01
