# This file is generated on 06-Dec-2021 at 12:13:10 and contains for each site, each satellite, frequency:
# att_scin_cdf_val = cdf value of attenuation due to scintillation (dB); att_scin_cdf_prob = cdf probability of attenuation due to scintillation (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to scintillation results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_scin_cdf_val (dB), att_scin_cdf_prob (%)
1, 1, 3.7500e+01, -6.0177e-02, 9.8000e+01
1, 1, 3.7500e+01, 7.2038e-01, 1.0000e-02
1, 1, 3.7500e+01, 6.6637e-01, 1.6000e-02
1, 1, 3.7500e+01, 6.1016e-01, 2.7000e-02
1, 1, 3.7500e+01, 5.5886e-01, 4.5000e-02
1, 1, 3.7500e+01, 5.0831e-01, 7.7000e-02
1, 1, 3.7500e+01, 4.6191e-01, 1.3000e-01
1, 1, 3.7500e+01, 4.2156e-01, 2.1000e-01
1, 1, 3.7500e+01, 3.8045e-01, 3.5000e-01
1, 1, 3.7500e+01, 3.3872e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.0414e-01, 9.5000e-01
1, 1, 3.7500e+01, 2.6118e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.1963e-01, 3.0000e+00
1, 1, 3.7500e+01, 1.8064e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.4434e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.1630e-01, 1.2000e+01
1, 1, 3.7500e+01, 8.0438e-02, 1.9000e+01
1, 1, 3.7500e+01, 4.3509e-02, 3.0000e+01
1, 1, 3.7500e+01, 9.4269e-03, 4.5000e+01
1, 1, 3.7500e+01, -1.5611e-02, 6.0000e+01
1, 1, 3.7500e+01, -4.1441e-02, 8.0000e+01
1, 1, 3.7500e+01, -6.0177e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
1, 2, 3.7500e+01, 3.5587e-01, 3.5000e-01
1, 2, 3.7500e+01, 3.1684e-01, 6.0000e-01
1, 2, 3.7500e+01, 2.8450e-01, 9.5000e-01
1, 2, 3.7500e+01, 2.4431e-01, 1.7000e+00
1, 2, 3.7500e+01, 2.0544e-01, 3.0000e+00
1, 2, 3.7500e+01, 1.6898e-01, 5.1000e+00
1, 2, 3.7500e+01, 1.3502e-01, 8.3000e+00
1, 2, 3.7500e+01, 1.0879e-01, 1.2000e+01
1, 2, 3.7500e+01, 7.5242e-02, 1.9000e+01
1, 2, 3.7500e+01, 4.0699e-02, 3.0000e+01
1, 2, 3.7500e+01, 8.8180e-03, 4.5000e+01
1, 2, 3.7500e+01, -1.4603e-02, 6.0000e+01
1, 2, 3.7500e+01, -3.8764e-02, 8.0000e+01
1, 2, 3.7500e+01, -5.6290e-02, 9.8000e+01
1, 2, 3.7500e+01, 6.7384e-01, 1.0000e-02
1, 2, 3.7500e+01, 6.2332e-01, 1.6000e-02
1, 2, 3.7500e+01, 5.7074e-01, 2.7000e-02
1, 2, 3.7500e+01, 5.2277e-01, 4.5000e-02
1, 2, 3.7500e+01, 4.7547e-01, 7.7000e-02
1, 2, 3.7500e+01, 4.3207e-01, 1.3000e-01
1, 2, 3.7500e+01, 3.9433e-01, 2.1000e-01
